Resumed Training Logs

Epoch [584/2000], Discriminator Loss: 1.2129, Generator Loss: 0.9040
Epoch [585/2000], Discriminator Loss: 1.1783, Generator Loss: 0.9310
Epoch [586/2000], Discriminator Loss: 1.2557, Generator Loss: 0.9301
Epoch [587/2000], Discriminator Loss: 1.1495, Generator Loss: 0.9320
Epoch [588/2000], Discriminator Loss: 1.2804, Generator Loss: 0.9167
Epoch [589/2000], Discriminator Loss: 1.2025, Generator Loss: 0.9156
Epoch [590/2000], Discriminator Loss: 1.1886, Generator Loss: 0.9109
Epoch [591/2000], Discriminator Loss: 1.2815, Generator Loss: 0.9050
Epoch [592/2000], Discriminator Loss: 1.1975, Generator Loss: 0.9538
Epoch [593/2000], Discriminator Loss: 1.1457, Generator Loss: 0.9761
Epoch [594/2000], Discriminator Loss: 1.2157, Generator Loss: 0.9321
Epoch [595/2000], Discriminator Loss: 1.2318, Generator Loss: 0.8855
Epoch [596/2000], Discriminator Loss: 1.2106, Generator Loss: 0.9213
Epoch [597/2000], Discriminator Loss: 1.2501, Generator Loss: 0.9269
Epoch [598/2000], Discriminator Loss: 1.1658, Generator Loss: 0.9234
Epoch [599/2000], Discriminator Loss: 1.2738, Generator Loss: 0.8662
Epoch [600/2000], Discriminator Loss: 1.2824, Generator Loss: 0.9290
Epoch [601/2000], Discriminator Loss: 1.1696, Generator Loss: 0.9405
Epoch [602/2000], Discriminator Loss: 1.2271, Generator Loss: 0.9165
Epoch [603/2000], Discriminator Loss: 1.1883, Generator Loss: 0.9373
Epoch [604/2000], Discriminator Loss: 1.1501, Generator Loss: 0.9420
Epoch [605/2000], Discriminator Loss: 1.1719, Generator Loss: 0.9465
Epoch [606/2000], Discriminator Loss: 1.2264, Generator Loss: 0.9095
Epoch [607/2000], Discriminator Loss: 1.2723, Generator Loss: 0.9293
Epoch [608/2000], Discriminator Loss: 1.1889, Generator Loss: 0.9410
Epoch [609/2000], Discriminator Loss: 1.1749, Generator Loss: 0.9530
Epoch [610/2000], Discriminator Loss: 1.2657, Generator Loss: 0.9682
Epoch [611/2000], Discriminator Loss: 1.2375, Generator Loss: 0.9075
Epoch [612/2000], Discriminator Loss: 1.1729, Generator Loss: 0.9768
Epoch [613/2000], Discriminator Loss: 1.1572, Generator Loss: 0.9340
Epoch [614/2000], Discriminator Loss: 1.2129, Generator Loss: 0.9723
Epoch [615/2000], Discriminator Loss: 1.1512, Generator Loss: 0.9828
Epoch [616/2000], Discriminator Loss: 1.1713, Generator Loss: 0.9900
Epoch [617/2000], Discriminator Loss: 1.1934, Generator Loss: 0.9587
Epoch [618/2000], Discriminator Loss: 1.1640, Generator Loss: 0.9380
Epoch [619/2000], Discriminator Loss: 1.2084, Generator Loss: 0.9778
Epoch [620/2000], Discriminator Loss: 1.3007, Generator Loss: 0.9410
Epoch [621/2000], Discriminator Loss: 1.1502, Generator Loss: 1.0149
Epoch [622/2000], Discriminator Loss: 1.0258, Generator Loss: 1.0662
Epoch [623/2000], Discriminator Loss: 1.1410, Generator Loss: 0.9502
Epoch [624/2000], Discriminator Loss: 1.1589, Generator Loss: 0.9578
Epoch [625/2000], Discriminator Loss: 1.2105, Generator Loss: 0.8929
Epoch [626/2000], Discriminator Loss: 1.1939, Generator Loss: 0.9828
Epoch [627/2000], Discriminator Loss: 1.2538, Generator Loss: 0.9848
Epoch [628/2000], Discriminator Loss: 1.2021, Generator Loss: 0.9430
Epoch [629/2000], Discriminator Loss: 1.1105, Generator Loss: 0.9820
Epoch [630/2000], Discriminator Loss: 1.1585, Generator Loss: 0.9817
Epoch [631/2000], Discriminator Loss: 1.2638, Generator Loss: 0.9437
Epoch [632/2000], Discriminator Loss: 1.1842, Generator Loss: 0.9212
Epoch [633/2000], Discriminator Loss: 1.1728, Generator Loss: 0.9612
Epoch [634/2000], Discriminator Loss: 1.2600, Generator Loss: 0.9294
Epoch [635/2000], Discriminator Loss: 1.3087, Generator Loss: 0.9149
