Training Logs

Epoch [85/3000], Discriminator Loss: 1.4583, Generator Loss: 0.7051
Epoch [86/3000], Discriminator Loss: 1.4484, Generator Loss: 0.7222
Epoch [87/3000], Discriminator Loss: 1.4272, Generator Loss: 0.7102
Epoch [88/3000], Discriminator Loss: 1.4718, Generator Loss: 0.6653
Epoch [89/3000], Discriminator Loss: 1.4901, Generator Loss: 0.6954
Epoch [90/3000], Discriminator Loss: 1.4288, Generator Loss: 0.7090
Epoch [91/3000], Discriminator Loss: 1.4484, Generator Loss: 0.6817
Epoch [92/3000], Discriminator Loss: 1.4600, Generator Loss: 0.6693
Epoch [93/3000], Discriminator Loss: 1.4322, Generator Loss: 0.7176
Epoch [94/3000], Discriminator Loss: 1.4124, Generator Loss: 0.7046
Epoch [95/3000], Discriminator Loss: 1.4465, Generator Loss: 0.7026
Epoch [96/3000], Discriminator Loss: 1.4720, Generator Loss: 0.6594
Epoch [97/3000], Discriminator Loss: 1.4279, Generator Loss: 0.6876
Epoch [98/3000], Discriminator Loss: 1.3857, Generator Loss: 0.7011
Epoch [99/3000], Discriminator Loss: 1.4475, Generator Loss: 0.6684
Epoch [100/3000], Discriminator Loss: 1.4977, Generator Loss: 0.6573
Epoch [101/3000], Discriminator Loss: 1.3939, Generator Loss: 0.7358
Epoch [102/3000], Discriminator Loss: 1.3577, Generator Loss: 0.7254
Epoch [103/3000], Discriminator Loss: 1.4439, Generator Loss: 0.6868
Epoch [104/3000], Discriminator Loss: 1.4972, Generator Loss: 0.6718
Epoch [105/3000], Discriminator Loss: 1.3968, Generator Loss: 0.7335
Epoch [106/3000], Discriminator Loss: 1.3645, Generator Loss: 0.7378
Epoch [107/3000], Discriminator Loss: 1.4302, Generator Loss: 0.6993
Epoch [108/3000], Discriminator Loss: 1.4727, Generator Loss: 0.6677
Epoch [109/3000], Discriminator Loss: 1.4171, Generator Loss: 0.7100
Epoch [110/3000], Discriminator Loss: 1.3905, Generator Loss: 0.7083
Epoch [111/3000], Discriminator Loss: 1.4035, Generator Loss: 0.6858
Epoch [112/3000], Discriminator Loss: 1.3908, Generator Loss: 0.7254
Epoch [113/3000], Discriminator Loss: 1.4017, Generator Loss: 0.7112
Epoch [114/3000], Discriminator Loss: 1.4279, Generator Loss: 0.7023
Epoch [115/3000], Discriminator Loss: 1.4157, Generator Loss: 0.7088
Epoch [116/3000], Discriminator Loss: 1.3633, Generator Loss: 0.7363
Epoch [117/3000], Discriminator Loss: 1.3779, Generator Loss: 0.7160
Epoch [118/3000], Discriminator Loss: 1.4398, Generator Loss: 0.6709
Epoch [119/3000], Discriminator Loss: 1.4010, Generator Loss: 0.7329
Epoch [120/3000], Discriminator Loss: 1.3698, Generator Loss: 0.7239
Epoch [121/3000], Discriminator Loss: 1.3785, Generator Loss: 0.7289
Epoch [122/3000], Discriminator Loss: 1.4075, Generator Loss: 0.6703
Epoch [123/3000], Discriminator Loss: 1.3763, Generator Loss: 0.7192
Epoch [124/3000], Discriminator Loss: 1.3230, Generator Loss: 0.7550
Epoch [125/3000], Discriminator Loss: 1.3892, Generator Loss: 0.7287
Epoch [126/3000], Discriminator Loss: 1.3838, Generator Loss: 0.7582
Epoch [127/3000], Discriminator Loss: 1.3481, Generator Loss: 0.7667
Epoch [128/3000], Discriminator Loss: 1.3351, Generator Loss: 0.7675
Epoch [129/3000], Discriminator Loss: 1.3443, Generator Loss: 0.7339
Epoch [130/3000], Discriminator Loss: 1.3661, Generator Loss: 0.7304
Epoch [131/3000], Discriminator Loss: 1.3247, Generator Loss: 0.7392
Epoch [132/3000], Discriminator Loss: 1.3221, Generator Loss: 0.7689
Epoch [133/3000], Discriminator Loss: 1.3251, Generator Loss: 0.7722
Epoch [134/3000], Discriminator Loss: 1.3093, Generator Loss: 0.7719
Epoch [135/3000], Discriminator Loss: 1.3311, Generator Loss: 0.7361
Epoch [136/3000], Discriminator Loss: 1.3223, Generator Loss: 0.7607
Epoch [137/3000], Discriminator Loss: 1.1469, Generator Loss: 0.9018
Epoch [138/3000], Discriminator Loss: 1.2628, Generator Loss: 0.8934
Epoch [139/3000], Discriminator Loss: 1.3273, Generator Loss: 0.8502
Epoch [140/3000], Discriminator Loss: 1.1684, Generator Loss: 0.9301
Epoch [141/3000], Discriminator Loss: 1.2641, Generator Loss: 0.8618
Epoch [142/3000], Discriminator Loss: 1.3082, Generator Loss: 0.8146
Epoch [143/3000], Discriminator Loss: 1.2142, Generator Loss: 0.9474
Epoch [144/3000], Discriminator Loss: 1.1842, Generator Loss: 0.8851
Epoch [145/3000], Discriminator Loss: 1.2825, Generator Loss: 0.8419
Epoch [146/3000], Discriminator Loss: 1.1913, Generator Loss: 0.8487
Epoch [147/3000], Discriminator Loss: 1.3375, Generator Loss: 0.8060
Epoch [148/3000], Discriminator Loss: 1.0750, Generator Loss: 0.9136
Epoch [149/3000], Discriminator Loss: 1.2104, Generator Loss: 0.9758
Epoch [150/3000], Discriminator Loss: 1.0569, Generator Loss: 0.9231
Epoch [151/3000], Discriminator Loss: 1.2924, Generator Loss: 0.9297
Epoch [152/3000], Discriminator Loss: 1.0497, Generator Loss: 0.9791
Epoch [153/3000], Discriminator Loss: 1.2658, Generator Loss: 0.9233
Epoch [154/3000], Discriminator Loss: 1.0713, Generator Loss: 0.9417
Epoch [155/3000], Discriminator Loss: 1.2525, Generator Loss: 0.8819
Epoch [156/3000], Discriminator Loss: 1.0385, Generator Loss: 0.9772
Epoch [157/3000], Discriminator Loss: 1.2446, Generator Loss: 0.9089
Epoch [158/3000], Discriminator Loss: 1.0862, Generator Loss: 0.9806
Epoch [159/3000], Discriminator Loss: 1.1838, Generator Loss: 0.8465
Epoch [160/3000], Discriminator Loss: 1.2233, Generator Loss: 0.9223
Epoch [161/3000], Discriminator Loss: 1.2654, Generator Loss: 0.8281
Epoch [162/3000], Discriminator Loss: 1.4883, Generator Loss: 0.7220
Epoch [163/3000], Discriminator Loss: 1.3809, Generator Loss: 0.8057
Epoch [164/3000], Discriminator Loss: 1.2863, Generator Loss: 0.8230
Epoch [165/3000], Discriminator Loss: 1.2082, Generator Loss: 0.8399
Epoch [166/3000], Discriminator Loss: 1.2698, Generator Loss: 0.7831
Epoch [167/3000], Discriminator Loss: 1.1833, Generator Loss: 0.8593
Epoch [168/3000], Discriminator Loss: 1.2353, Generator Loss: 0.8389
Epoch [169/3000], Discriminator Loss: 1.2377, Generator Loss: 0.8057
Epoch [170/3000], Discriminator Loss: 1.1706, Generator Loss: 0.9097
Epoch [171/3000], Discriminator Loss: 1.2320, Generator Loss: 0.8414
Epoch [172/3000], Discriminator Loss: 1.2348, Generator Loss: 0.9149
Epoch [173/3000], Discriminator Loss: 1.2383, Generator Loss: 0.9421
Epoch [174/3000], Discriminator Loss: 1.2098, Generator Loss: 0.8593
Epoch [175/3000], Discriminator Loss: 1.1505, Generator Loss: 0.9192
Epoch [176/3000], Discriminator Loss: 1.1073, Generator Loss: 1.0145
Epoch [177/3000], Discriminator Loss: 1.1465, Generator Loss: 1.0346
Epoch [178/3000], Discriminator Loss: 1.0447, Generator Loss: 0.9650
Epoch [179/3000], Discriminator Loss: 1.0272, Generator Loss: 0.9519
Epoch [180/3000], Discriminator Loss: 1.1557, Generator Loss: 0.9382
Epoch [181/3000], Discriminator Loss: 1.0085, Generator Loss: 1.0522
Epoch [182/3000], Discriminator Loss: 1.1178, Generator Loss: 0.9449
Epoch [183/3000], Discriminator Loss: 1.0995, Generator Loss: 0.9165
Epoch [184/3000], Discriminator Loss: 1.0802, Generator Loss: 0.9941
Epoch [185/3000], Discriminator Loss: 0.9877, Generator Loss: 1.2485
Epoch [186/3000], Discriminator Loss: 0.8500, Generator Loss: 1.4178
Epoch [187/3000], Discriminator Loss: 0.9008, Generator Loss: 1.2729
Epoch [188/3000], Discriminator Loss: 0.7520, Generator Loss: 1.4798
Epoch [189/3000], Discriminator Loss: 0.9694, Generator Loss: 1.2103
Epoch [190/3000], Discriminator Loss: 1.2750, Generator Loss: 1.0122
Epoch [191/3000], Discriminator Loss: 0.8980, Generator Loss: 1.2257
Epoch [192/3000], Discriminator Loss: 1.0052, Generator Loss: 1.1253
Epoch [193/3000], Discriminator Loss: 1.0441, Generator Loss: 1.1099
Epoch [194/3000], Discriminator Loss: 0.9532, Generator Loss: 1.1305
Epoch [195/3000], Discriminator Loss: 0.9373, Generator Loss: 1.1003
Epoch [196/3000], Discriminator Loss: 0.9644, Generator Loss: 1.1269
Epoch [197/3000], Discriminator Loss: 1.1378, Generator Loss: 0.9046
Epoch [198/3000], Discriminator Loss: 1.3353, Generator Loss: 0.7909
Epoch [199/3000], Discriminator Loss: 1.2241, Generator Loss: 0.8333
Epoch [200/3000], Discriminator Loss: 1.1850, Generator Loss: 0.8556
Epoch [201/3000], Discriminator Loss: 1.1228, Generator Loss: 0.9679
Epoch [202/3000], Discriminator Loss: 1.1124, Generator Loss: 1.0368
Epoch [203/3000], Discriminator Loss: 1.2711, Generator Loss: 0.8992
Epoch [204/3000], Discriminator Loss: 1.3051, Generator Loss: 0.8904
Epoch [205/3000], Discriminator Loss: 1.1842, Generator Loss: 0.9861
Epoch [206/3000], Discriminator Loss: 1.1858, Generator Loss: 0.9650
Epoch [207/3000], Discriminator Loss: 1.2404, Generator Loss: 0.8846
Epoch [208/3000], Discriminator Loss: 1.1875, Generator Loss: 0.8487
Epoch [209/3000], Discriminator Loss: 1.2726, Generator Loss: 0.8277
Epoch [210/3000], Discriminator Loss: 1.2621, Generator Loss: 0.9283
Epoch [211/3000], Discriminator Loss: 1.1817, Generator Loss: 0.9966
Epoch [212/3000], Discriminator Loss: 1.3642, Generator Loss: 0.8335
Epoch [213/3000], Discriminator Loss: 1.3120, Generator Loss: 0.8325
Epoch [214/3000], Discriminator Loss: 1.1326, Generator Loss: 0.9395
Epoch [215/3000], Discriminator Loss: 1.3596, Generator Loss: 0.7586
Epoch [216/3000], Discriminator Loss: 1.3472, Generator Loss: 0.8018
Epoch [217/3000], Discriminator Loss: 1.3767, Generator Loss: 0.8165
Epoch [218/3000], Discriminator Loss: 1.2887, Generator Loss: 0.8688
Epoch [219/3000], Discriminator Loss: 1.3172, Generator Loss: 0.7954
Epoch [220/3000], Discriminator Loss: 1.1867, Generator Loss: 0.9253
Epoch [221/3000], Discriminator Loss: 1.2330, Generator Loss: 0.8898
Epoch [222/3000], Discriminator Loss: 1.3022, Generator Loss: 0.8482
Epoch [223/3000], Discriminator Loss: 1.1385, Generator Loss: 0.9889
Epoch [224/3000], Discriminator Loss: 1.0317, Generator Loss: 1.0359
Epoch [225/3000], Discriminator Loss: 1.2026, Generator Loss: 1.0459
Epoch [226/3000], Discriminator Loss: 1.3101, Generator Loss: 0.9070
Epoch [227/3000], Discriminator Loss: 1.2472, Generator Loss: 0.9200
Epoch [228/3000], Discriminator Loss: 1.3483, Generator Loss: 0.8265
Epoch [229/3000], Discriminator Loss: 1.2878, Generator Loss: 0.8464
Epoch [230/3000], Discriminator Loss: 1.2727, Generator Loss: 0.8204
Epoch [231/3000], Discriminator Loss: 1.2296, Generator Loss: 0.8425
Epoch [232/3000], Discriminator Loss: 1.0454, Generator Loss: 1.0301
Epoch [233/3000], Discriminator Loss: 1.2308, Generator Loss: 0.8616
Epoch [234/3000], Discriminator Loss: 1.4149, Generator Loss: 0.8457
Epoch [235/3000], Discriminator Loss: 1.1970, Generator Loss: 0.9165
Epoch [236/3000], Discriminator Loss: 1.0993, Generator Loss: 1.0164
Epoch [237/3000], Discriminator Loss: 1.2889, Generator Loss: 0.8611
Epoch [238/3000], Discriminator Loss: 1.2820, Generator Loss: 0.8962
Epoch [239/3000], Discriminator Loss: 1.2274, Generator Loss: 0.8964
Epoch [240/3000], Discriminator Loss: 1.1582, Generator Loss: 0.9037
Epoch [241/3000], Discriminator Loss: 1.1150, Generator Loss: 0.9816
Epoch [242/3000], Discriminator Loss: 1.1789, Generator Loss: 1.0130
Epoch [243/3000], Discriminator Loss: 1.1540, Generator Loss: 1.0637
Epoch [244/3000], Discriminator Loss: 1.1530, Generator Loss: 1.0280
Epoch [245/3000], Discriminator Loss: 0.9447, Generator Loss: 1.2593
Epoch [246/3000], Discriminator Loss: 1.1052, Generator Loss: 1.0156
Epoch [247/3000], Discriminator Loss: 1.2173, Generator Loss: 0.8623
Epoch [248/3000], Discriminator Loss: 1.1673, Generator Loss: 0.9836
Epoch [249/3000], Discriminator Loss: 1.1568, Generator Loss: 0.9231
